	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	Non-US	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
BRADLEY					4.6%									10.8%	9.5%			2.3%						0.0%									21.3%	50.1%																		1.5%	
BRIGHAM-YOUNG			22.8%																8.1%															20.2%												8.7%	26.3%					13.8%	
BROWN					5.7%									3.6%			0.2%				18.8%	24.9%	11.5%										0.2%	9.0%	10.9%							1.7%	13.7%			0.0%							
BRYANT							0.0%							2.1%							5.0%	0.0%	0.0%								0.4%		72.3%	16.7%						0.0%		3.5%											
BUCKNELL					7.5%						4.1%			13.0%																	16.8%			2.1%	10.3%					25.0%						2.1%			19.1%				
BUFFALO					1.0%					19.8%	0.3%					5.4%						2.2%		2.2%									35.4%	15.6%	0.5%					1.9%			7.6%									8.0%	
BUTLER									13.9%						18.8%						10.0%		8.4%										17.9%	8.2%	0.5%								0.0%		0.0%				16.3%			6.0%	
CAL-POLY			0.1%		64.2%																													23.3%															12.4%				
CAL-STATE-BAKERSFIELD				16.3%	37.5%					3.0%							1.8%				3.8%				6.3%	9.7%			2.6%					13.3%						0.5%					5.2%								
CAL-STATE-FULLERTON					22.4%									12.7%									14.1%					7.9%	0.0%		24.3%			1.6%												17.0%							
CAL-STATE-NORTHRIDGE					92.3%									7.7%																																							
CALIFORNIA-BAPTIST			8.0%		19.2%																													72.8%																			
CALIFORNIA-DAVIS			15.3%		27.2%	3.6%																												30.0%																23.8%			
CALIFORNIA-IRVINE			0.6%		29.8%						9.1%																							16.7%										10.5%						22.5%		10.8%	
CALIFORNIA-RIVERSIDE					32.2%																												0.0%	45.7%	17.6%											4.5%							
CALIFORNIA-SAN-DIEGO					36.9%									9.5%									1.8%	14.9%					10.7%					26.3%													0.0%			0.0%		0.0%	
CALIFORNIA-SANTA-BARBARA					17.9%												0.0%							10.3%							11.1%			46.3%												14.1%				0.2%			
CALIFORNIA					24.8%					0.0%																							8.1%	40.4%	21.8%										4.9%	0.0%							
CAMPBELL	12.3%										16.3%										0.3%													25.8%	27.7%								0.0%		17.7%								
CANISIUS									5.5%				0.0%								17.2%										10.4%		9.3%	26.3%			31.4%																
CENTRAL-ARKANSAS	4.8%		6.5%	51.8%	11.3%																1.9%												1.9%	21.7%											0.0%	0.0%			0.1%				
CENTRAL-CONNECTICUT-STATE			16.7%				0.0%														16.2%	6.0%	7.3%								1.4%		27.8%	12.9%	5.3%							6.4%											
CENTRAL-FLORIDA	15.8%									23.1%	15.9%			0.0%							3.5%					9.2%								9.2%	23.2%											0.0%							
CENTRAL-MICHIGAN					14.4%					10.5%				15.4%			1.1%						28.3%											15.4%												14.8%							
CHARLESTON-SOUTHERN	10.5%									10.4%	30.0%								13.0%														0.1%	10.8%	0.0%								11.4%			13.6%							
CHARLOTTE										12.9%					1.6%						27.5%													14.1%	3.9%					17.0%			15.1%			3.9%			4.1%				
CHATTANOOGA										40.3%	0.0%			26.6%											0.1%									20.2%	4.2%										8.3%				0.4%				
CHICAGO-STATE					32.8%					31.2%				13.7%		1.1%													5.0%				3.7%	11.0%																		1.5%	
CINCINNATI	1.7%														12.1%		2.6%						18.1%	3.8%									11.1%	12.5%	16.4%		17.3%									4.3%							
CITADEL					17.4%					8.8%	14.8%			1.2%												3.0%							11.8%		13.8%		1.9%						23.1%				4.2%						
CLEMSON										13.7%	7.6%				6.1%							0.0%							0.3%		15.5%				15.6%		21.5%						19.8%										
CLEVELAND-STATE										0.0%	12.7%			1.0%									11.0%	12.2%										21.5%			38.1%												3.4%				
COASTAL-CAROLINA											0.0%			0.0%					10.4%						0.0%								1.8%	57.3%					8.4%				22.1%										
COLGATE					0.8%					3.3%					16.8%																15.0%		0.2%	4.2%	7.9%					40.9%		10.9%											
COLLEGE-OF-CHARLESTON							0.3%	8.2%			14.8%				0.0%																0.0%			28.5%	18.5%		2.6%						12.2%			15.0%							
COLORADO-STATE			0.0%			5.3%								10.2%										24.6%				14.4%						4.4%	9.7%											31.4%							
COLORADO					45.5%	13.7%													0.0%		0.0%													26.7%												10.7%			0.0%	0.0%			3.4%
COLUMBIA							13.2%			0.0%											20.8%	1.7%							1.2%				22.9%	18.3%	11.5%											4.4%				6.1%			
CONNECTICUT							0.2%			11.3%											6.9%									6.2%	28.7%		9.9%	14.9%	8.5%					13.4%													
COPPIN-STATE																					20.0%					9.1%					13.9%		2.7%	6.5%						26.2%						19.4%			1.6%	0.8%			
CORNELL					9.8%		7.5%			0.0%							7.3%														27.2%		25.5%													12.6%			10.1%				
CREIGHTON											19.9%			0.0%		19.1%						11.6%			5.6%	17.4%		2.1%						17.4%				6.4%							0.0%					0.5%			
DARTMOUTH					15.6%						2.5%										10.8%			0.0%	11.5%						24.3%		0.5%	21.6%	4.4%					1.1%							7.8%						
DAVIDSON									0.0%		0.6%												19.3%	16.1%										52.8%	1.1%		9.3%								0.8%								
DAYTON			15.1%							12.9%	0.4%										9.4%												23.6%	35.9%			0.1%			2.6%													
DELAWARE-STATE								21.1%			2.6%										9.6%													11.0%			0.0%			23.8%									31.9%				
DELAWARE								5.4%							0.0%						23.7%	0.0%												5.7%						64.4%									0.9%				
DENVER				22.5%	6.2%	0.1%								12.7%										1.1%		11.0%								25.9%											19.4%	1.0%							
DEPAUL	1.8%										0.0%			42.8%	3.9%		5.5%					9.7%	4.9%											31.5%																			
DETROIT-MERCY	34.0%									22.1%	7.3%										14.3%		10.3%			1.9%							4.0%	5.6%			0.0%									0.5%							
DIXIE-STATE			7.9%		19.6%	1.1%																							0.7%					12.1%												17.5%	41.0%						
DRAKE			0.7%											10.1%	38.6%	30.5%												5.9%			10.4%			3.9%												0.0%							
DREXEL											8.9%						11.4%				0.2%												18.6%	18.6%					0.0%	19.1%									17.9%	5.1%			
DUKE					0.1%																14.7%			3.4%							1.4%		8.7%	0.0%	29.6%														21.4%	20.8%			
DUQUESNE							16.6%								17.9%		13.6%						26.6%								6.0%						19.0%			0.0%			0.0%						0.0%			0.4%	
EAST-CAROLINA				10.0%	14.8%						14.1%				0.3%						0.0%	0.0%									5.9%			2.8%	21.5%								6.0%			24.7%							
EAST-TENNESSEE-STATE														0.0%	0.0%			22.5%			8.8%				31.5%								16.7%	11.9%	5.9%										2.6%				0.2%				
EASTERN-ILLINOIS										13.0%				27.2%							1.6%			11.3%							12.1%		14.7%	11.6%			3.0%									5.4%							
EASTERN-KENTUCKY											12.0%							45.5%										5.6%					0.2%	3.5%	11.0%		13.9%															8.4%	
EASTERN-MICHIGAN			8.4%											8.1%									16.4%								39.4%			6.8%			5.4%								15.4%								
EASTERN-WASHINGTON					16.8%								19.4%								3.0%					13.8%								15.1%					0.0%											31.9%			
ELON					9.9%					5.3%	16.5%			17.1%								3.7%			1.0%	14.3%							10.8%		4.0%		0.2%			3.2%									14.0%				
EVANSVILLE							0.0%			0.0%				11.8%	6.9%			0.0%						11.1%										26.8%			20.1%									23.2%							
FAIRFIELD					12.7%			0.2%		1.6%											9.3%									10.9%	28.2%		12.2%	9.1%						5.8%	10.0%												
FAIRLEIGH-DICKINSON									15.0%												15.7%										5.4%		16.8%	19.8%			21.9%			5.5%													
FLORIDA-AM									3.0%	58.8%	10.6%			10.6%					12.8%															4.3%																			
FLORIDA-ATLANTIC										41.6%					7.1%						8.4%				21.0%								0.0%	20.1%							1.9%												
FLORIDA-GULF-COAST										40.2%				6.2%																				20.7%											8.7%						24.1%		
FLORIDA-INTERNATIONAL	16.2%			20.7%						5.1%	16.3%			6.1%								0.7%				8.2%								7.0%						7.0%			1.8%			10.9%							
FLORIDA-STATE										4.9%	13.2%			15.6%					2.3%		0.0%					8.6%	7.1%				0.0%		0.4%	14.0%	18.5%					8.3%			7.0%		0.2%								
FLORIDA	12.5%			13.6%						21.1%	16.9%									0.4%	12.4%					9.5%					0.8%			3.6%									6.8%						2.4%				
FORDHAM										11.6%	0.0%										10.6%												20.0%	3.6%	23.2%		22.7%			0.2%	6.1%		2.0%										
FRESNO-STATE					58.6%									2.9%															31.1%				0.5%	6.8%																			
FURMAN										0.6%	10.1%				0.0%											10.2%									27.7%		24.2%						19.9%		7.3%								
GARDNER-WEBB			19.3%							11.4%	18.9%											15.3%											30.1%	4.6%	0.4%																		
GEORGE-MASON			2.1%		6.8%	20.2%					0.0%							18.0%			8.2%												15.6%	1.9%	0.0%											2.3%			24.8%				
GEORGE-WASHINGTON					0.0%				26.3%	0.0%									2.5%		43.5%												0.0%	0.0%															27.7%				
GEORGETOWN					0.4%				15.7%		6.4%			4.4%					9.3%		34.5%					0.2%							3.2%	1.8%			2.7%						21.4%										
GEORGIA-SOUTHERN										15.1%	16.3%			0.0%	3.2%																			37.3%	14.5%		8.0%									5.7%							
GEORGIA-STATE				0.8%							39.5%				16.1%								24.0%										0.0%	2.9%	11.4%										5.3%								
GEORGIA-TECH	0.4%									36.9%	45.5%							0.0%					7.2%										8.9%	0.4%	0.6%																		
GEORGIA			10.8%		0.0%					18.3%	42.3%								1.8%							16.4%					10.4%																						
GONZAGA					0.0%																			15.2%				6.3%	14.9%					10.1%					4.0%							19.1%			12.5%	18.0%			
GRAMBLING	9.1%									7.8%	0.0%					15.5%			18.8%					3.6%																						29.5%						15.7%	
GRAND-CANYON			53.8%		13.4%					0.0%					7.5%												0.0%							24.5%																0.8%			
GREEN-BAY				0.2%										5.2%		12.7%															20.3%			5.4%																		56.2%	
HAMPTON																															7.6%			3.9%	9.9%								48.5%						30.0%				
HARTFORD		0.0%																			1.9%	20.3%									41.1%			16.5%						1.1%											19.1%		
HARVARD					3.3%									6.3%								0.5%				9.5%							33.3%	44.4%									2.1%			0.5%							
HAWAII		12.6%	0.0%		11.4%							3.6%	7.8%																					64.6%	0.0%																	0.0%	
HIGH-POINT			1.0%							0.4%											0.5%														80.2%		1.1%			0.3%									16.4%				
HOFSTRA								7.0%			24.9%																				17.7%		16.5%		17.1%					0.0%									16.8%				
HOLY-CROSS														7.0%								36.6%	9.7%								0.0%		0.2%	5.1%	21.2%										12.5%	2.1%			5.5%				
HOUSTON-BAPTIST			21.6%		8.3%						7.4%																					5.6%	23.6%	21.9%	1.6%											10.0%							
HOUSTON											1.0%				0.0%				1.0%						8.2%									4.1%	15.0%			4.5%								66.3%							
HOWARD									14.6%	0.0%				13.3%							29.9%												7.2%	0.2%									1.9%			14.5%			18.4%				
IDAHO-STATE			34.0%		2.6%								33.1%		6.5%																			5.2%					12.7%								5.2%			0.6%			
IDAHO			11.7%		6.5%			23.6%					6.1%	0.0%												6.0%													5.9%										9.4%	30.9%			
ILLINOIS-CHICAGO										0.9%				40.5%				2.1%	17.3%					0.0%					8.7%					27.8%			2.8%										0.0%					0.0%	
ILLINOIS-STATE											13.8%			26.5%		3.4%		6.0%					0.3%	35.5%										3.5%											11.0%								
ILLINOIS					23.8%					14.1%				6.1%	2.8%																		1.0%	30.2%							20.4%											1.5%	
INCARNATE-WORD				20.4%	3.5%					5.1%		0.7%			16.3%						0.0%													38.2%	14.0%											1.9%							
INDIANA-STATE	15.4%		7.5%								10.3%				26.5%																														15.2%	8.9%			16.2%				
INDIANA					0.0%						2.8%				37.9%		6.6%							14.4%							6.0%						0.6%								9.5%	9.8%			12.6%				
IONA										15.8%				10.1%				0.7%															7.6%	30.8%	1.1%			19.5%					0.9%			13.4%							
IOWA-STATE										0.0%	0.4%			7.8%		0.2%	9.7%							16.9%										19.4%						23.9%			7.2%									14.5%	
IOWA														4.8%	9.0%	70.6%							0.5%					0.0%					7.1%	7.9%																			
IPFW											26.3%			13.8%	13.7%						11.3%		2.1%					0.0%							0.0%					11.1%					1.4%	18.7%			0.0%	1.6%			
IUPUI	12.8%					9.7%								6.2%	0.0%		5.9%														4.4%			12.8%												48.2%							
JACKSON-STATE			0.0%							0.0%	0.0%							12.2%			7.5%				74.0%										1.5%		4.8%									0.0%							
JACKSONVILLE-STATE	18.5%										1.6%			0.9%				0.0%			14.4%							5.1%						17.6%	21.6%			15.0%					4.7%		0.6%								
JACKSONVILLE	11.4%		2.7%							16.9%	0.4%											7.3%				8.1%								10.0%						0.0%			39.3%		3.9%								
JAMES-MADISON									0.9%	6.8%	7.2%			8.6%							13.9%			1.5%									13.3%							1.2%			11.5%			11.4%			23.7%				
KANSAS-STATE							7.5%							15.2%	19.7%		0.0%	0.0%								8.6%							27.8%	19.3%												0.6%						1.2%	
KANSAS			6.6%		10.9%									2.2%	6.4%		20.4%									30.0%							0.0%		1.3%			0.0%								11.8%			10.4%				
KENNESAW-STATE	12.4%								6.7%		69.5%						2.3%																		5.1%														4.1%				
KENT-STATE														4.7%																			8.1%	1.1%	29.7%		45.4%				11.0%												
KENTUCKY			16.4%											3.1%	12.1%			3.9%				14.2%									1.5%		5.1%	19.5%	8.7%		0.0%									15.5%							
LA-SALLE								0.0%	17.3%																								10.6%	2.9%	15.7%					53.5%													
LAFAYETTE							16.5%			20.5%											3.4%										28.8%		1.8%	13.7%						15.4%						0.0%							
LAMAR											8.9%								5.1%															0.2%												85.8%							
LEHIGH					14.7%						0.1%			38.4%								3.3%									3.6%		0.5%	8.9%			2.1%	9.4%		8.4%										10.4%			
LIBERTY	10.0%																2.0%	8.3%						1.6%				12.5%							37.7%		14.9%			1.3%						11.1%			0.6%				
LIPSCOMB	9.9%									4.5%	11.5%				10.0%			0.0%								0.0%									5.2%		3.7%								19.3%	11.1%						24.7%	
LONG-BEACH-STATE					34.5%				10.9%	2.8%									17.5%	0.2%	2.6%													11.3%												20.3%							
LONG-ISLAND-UNIVERSITY							25.3%			1.3%				10.8%							7.8%	5.9%											48.4%	0.4%			0.0%			0.0%													
LONGWOOD										1.5%	13.1%							1.6%										9.0%						5.5%	21.3%											30.2%			17.7%				
LOUISIANA-LAFAYETTE	10.1%				19.0%					1.8%	2.7%								47.4%														4.5%	6.7%												7.8%							
LOUISIANA-MONROE				17.3%						0.7%				7.1%					19.0%															14.6%					7.8%							19.1%						14.4%	
LOUISIANA-STATE					1.0%					24.8%	11.1%			14.1%					1.0%		11.1%								5.4%											0.9%						0.2%			10.9%	19.7%			
LOUISIANA-TECH				8.1%						25.7%									6.7%									4.5%																		54.9%							
LOUISVILLE										0.0%					27.2%			7.6%			15.2%	11.6%													17.7%		0.0%						0.2%			9.2%			2.4%		8.9%		
LOYOLA-IL											2.3%			29.0%	7.1%								0.0%	10.8%				3.2%						11.8%	15.9%		10.0%															9.8%	
LOYOLA-MARYMOUNT					74.4%	6.7%					3.8%																							13.6%	0.1%										1.5%								
LOYOLA-MD																					57.6%										12.6%		0.0%	29.8%															0.0%				
MAINE						13.6%				10.1%											7.4%													68.9%															0.0%				
MANHATTAN	12.4%				0.0%					8.4%																				0.0%	0.0%		55.0%	24.1%								0.0%											
MARIST										20.3%	3.2%			1.8%					0.2%		26.7%										15.2%		1.2%	27.1%												4.4%							
MARQUETTE			9.1%		0.0%											2.4%					36.8%		6.5%											16.2%	0.0%					4.8%		9.3%			10.1%	0.0%						4.9%	
MARSHALL					1.6%						2.3%							16.3%																12.1%			25.1%									6.2%			10.1%		26.3%		
MARYLAND-BALTIMORE-COUNTY											19.6%					7.0%					29.4%		7.8%										7.8%	24.7%						3.6%													
MARYLAND-EASTERN-SHORE					3.3%																34.2%												23.0%	6.4%						15.6%					5.5%				11.8%				
MARYLAND								21.8%	0.2%												9.4%			0.7%									0.0%	17.8%						48.1%			0.0%						1.8%			0.2%	
MASSACHUSETTS-LOWELL									11.6%										17.5%		62.0%	3.5%	0.0%										0.0%							4.0%									1.3%				
MASSACHUSETTS					5.5%		17.3%			1.2%												17.4%											16.4%				7.6%			14.8%		13.2%							6.4%				
MCNEESE-STATE										17.2%				12.6%					0.0%		29.1%				2.3%																				5.9%	17.2%			15.8%				
MEMPHIS									8.0%	6.8%	11.8%			0.0%									10.7%										10.8%	0.0%						12.1%					26.4%	13.4%							
MERCER	7.8%									0.6%	30.7%																							22.6%	25.4%						12.8%												
MERRIMACK														0.2%							17.9%	36.9%									29.1%		14.6%							1.3%						0.0%							
MIAMI-FL														16.1%							7.7%	3.2%	0.2%								21.1%		3.2%	9.5%						5.0%						23.4%			10.5%				
MIAMI-OH														1.4%	33.2%						4.8%		1.2%											12.9%			46.5%																
MICHIGAN-STATE											0.0%			25.8%									39.1%										8.9%	1.2%						8.9%						7.6%						8.5%	
MICHIGAN										0.4%				0.0%					10.4%		7.2%		12.4%	0.0%					3.5%				0.8%	24.1%			1.4%			17.8%									22.1%				
MIDDLE-TENNESSEE	11.2%									4.2%	33.4%				17.1%			10.8%																											14.1%	9.2%							
MILWAUKEE			0.0%				6.4%							36.5%	22.1%								2.1%			10.2%								8.1%												2.9%						11.6%	
MINNESOTA				22.2%						18.3%				0.0%		0.0%								36.9%										0.0%											11.7%							10.8%	
MISSISSIPPI-STATE	15.4%				0.2%													0.5%	3.0%				3.9%		35.8%									26.7%	14.4%										0.2%								
MISSISSIPPI-VALLEY-STATE				0.0%	6.0%						9.3%								3.7%		7.5%		44.1%		10.3%								12.4%	6.5%											0.2%								
MISSISSIPPI					9.0%					5.3%	11.4%														44.5%									2.8%	0.3%					13.0%					13.7%								
MISSOURI-KANSAS-CITY							2.7%							30.9%			5.5%							5.7%		0.0%		14.2%						2.3%	6.4%								6.0%			20.7%						5.6%	
MISSOURI-STATE						19.2%								9.9%	12.5%									8.7%		40.2%	4.6%				0.0%			1.2%												3.9%			0.0%				
MISSOURI	22.8%					11.6%								24.9%	11.7%						2.7%					8.2%							4.0%				14.1%																
MONMOUTH														0.0%																	61.7%		12.4%	5.4%	20.5%										0.0%				0.0%				
MONTANA-STATE		3.5%												15.7%													0.2%		0.9%					52.3%					0.0%							4.8%				19.3%			3.2%
MONTANA		0.0%			48.9%					0.0%						1.0%							8.4%				5.9%		0.0%					16.8%					10.7%											8.3%			
MOREHEAD-STATE						1.7%				27.4%	0.0%			8.6%				39.0%			5.2%														2.6%								11.6%		0.0%	3.9%							
MORGAN-STATE									7.1%									12.4%			30.8%												18.5%	14.7%					3.9%				5.3%			7.2%							
MOUNT-ST-MARYS					9.7%		10.4%			0.0%	7.5%			5.0%							16.0%												0.0%	4.0%	20.0%											1.2%			26.3%				
MURRAY-STATE	22.6%			19.8%						1.2%								2.7%	8.0%						22.0%	0.0%									12.2%								11.5%										
NAVY									8.9%	17.7%	1.7%										0.8%														16.4%					8.8%					21.3%	10.4%			14.0%				
NEBRASKA-OMAHA											4.9%						9.8%									19.1%		46.5%			3.9%			15.7%																			
NEBRASKA					3.1%									19.2%	9.0%											13.5%		0.0%			11.0%		0.0%	20.8%			0.0%						22.8%			0.6%							
NEVADA-LAS-VEGAS			7.6%		26.1%																								8.3%				1.4%	11.3%												36.1%						9.1%	
NEVADA			2.6%		18.0%	0.6%				8.2%					4.8%		24.2%												0.0%					3.9%											22.4%	15.2%							
NEW-HAMPSHIRE							16.3%							1.8%																7.1%			16.5%	14.9%	14.6%											28.8%					0.0%		
NEW-MEXICO-STATE			22.7%											4.9%								3.7%	6.6%			5.2%						10.2%		8.9%						10.7%						15.6%			6.8%	2.3%		2.2%	
NEW-MEXICO			18.9%		7.9%	11.5%				23.9%	9.8%																					0.4%	5.5%	20.9%			1.2%																
NEW-ORLEANS					2.3%					15.3%	36.6%							0.7%	20.8%														5.0%	9.1%		8.0%				2.2%													
NIAGARA							0.0%				3.0%						10.9%	1.9%				12.8%											44.2%	5.3%						11.4%						10.3%							
NICHOLLS-STATE	7.3%			2.2%											6.3%				28.1%						21.5%									0.0%				9.2%								13.0%			12.3%				
NJIT										25.1%							1.3%				12.5%		25.2%								0.2%		8.8%	6.4%						20.5%													
NORFOLK-STATE				15.3%																		9.0%									1.9%		16.7%	0.9%						14.0%									42.2%				
NORTH-ALABAMA	38.2%					6.8%								6.3%					14.3%						13.6%						7.4%			13.5%																			
NORTH-CAROLINA-ASHEVILLE										14.5%																									12.0%		0.0%								42.8%				20.6%		10.0%		
NORTH-CAROLINA-AT	0.6%									2.9%	18.5%										5.6%													7.4%	50.1%					12.6%			0.0%			0.0%			2.3%				
NORTH-CAROLINA-CENTRAL														5.3%				9.4%			22.6%													2.0%	32.7%								25.5%		2.6%								
NORTH-CAROLINA-GREENSBORO										17.0%																								23.6%	34.5%			0.0%											24.9%				
NORTH-CAROLINA-STATE										1.6%											9.0%					18.7%								4.8%	39.4%														26.5%				
NORTH-CAROLINA-WILMINGTON										3.4%	0.6%							9.4%															3.3%		71.0%											12.3%							
NORTH-CAROLINA			1.1%							0.0%														15.3%		19.8%							16.4%		6.8%			16.3%		0.0%									24.2%				
NORTH-DAKOTA-STATE																3.9%								47.5%		5.0%		8.0%								24.5%																11.1%	
NORTH-DAKOTA		7.8%			0.0%						11.8%			5.9%		1.1%								21.8%			7.7%	3.9%								0.0%		9.7%						19.3%			11.0%					0.0%	
NORTH-FLORIDA										55.0%	0.0%							14.4%																0.0%	11.7%										8.0%	10.9%							
NORTH-TEXAS					1.2%						14.8%			17.1%																			14.3%	1.4%				23.2%		0.9%						27.2%							
NORTHEASTERN			1.1%							9.3%												17.0%				4.3%					8.8%			59.6%																			
NORTHERN-ARIZONA			42.2%		3.6%																													13.0%	25.9%											13.6%				0.0%		1.7%	
NORTHERN-COLORADO			1.0%		1.8%	64.1%											2.0%											13.7%						14.1%												2.2%			1.1%				
NORTHERN-ILLINOIS											0.6%			33.2%	7.0%				4.4%		2.7%		27.6%											5.9%			8.4%								6.0%	4.1%							
NORTHERN-IOWA																63.2%								36.8%																													
NORTHERN-KENTUCKY														8.0%		2.1%		53.0%																22.1%			8.7%									6.1%							
NORTHWESTERN-STATE											8.1%			1.6%					52.8%														8.8%	17.3%												10.2%				1.2%			
NORTHWESTERN											7.1%			5.0%	0.5%		10.8%					4.5%	5.0%								12.9%		25.2%				20.6%												8.3%				
NOTRE-DAME					0.0%					28.1%					20.4%				0.0%		11.1%												12.4%		6.1%		21.2%			0.8%													
OAKLAND										1.0%				6.8%	18.3%						4.8%		66.5%											0.0%						0.0%						2.7%							
OHIO-STATE										9.2%	2.1%	1.3%		27.0%	1.9%				3.1%														12.6%				42.7%																
OHIO	27.2%									0.0%	0.0%																						9.2%	0.0%	1.1%		45.3%															17.3%	
OKLAHOMA-STATE										13.2%									4.8%		2.7%							2.7%						16.3%				34.2%								26.0%							
OKLAHOMA					13.9%						12.7%						2.0%												12.6%					1.2%				10.6%								24.4%				22.6%			
OLD-DOMINION	4.4%						14.1%				24.9%			14.6%							40.2%							0.0%																		1.9%			0.0%				
ORAL-ROBERTS	8.5%			11.6%																														24.4%				11.8%								43.7%							
OREGON-STATE					37.2%						7.9%																		5.8%				11.9%	11.6%					0.0%	3.2%						22.3%							
OREGON						0.0%					19.2%											8.2%	9.8%					0.6%						28.7%					2.2%				0.0%			28.4%	2.9%						
PACIFIC		14.7%		0.3%	23.5%									14.4%															10.1%					0.0%					3.5%							8.1%				25.5%			
PENN-STATE							5.9%	0.0%						3.4%							0.3%	2.9%	8.8%								21.5%		24.2%	0.0%						32.9%													
PENNSYLVANIA					11.0%		0.3%		8.7%	2.3%				0.0%									0.5%							6.3%	12.5%		29.9%	10.6%			9.8%			7.7%					0.0%	0.4%							
PEPPERDINE			3.1%		56.9%																								8.5%				0.0%	27.2%			1.2%													3.1%			
PITTSBURGH														6.1%	3.2%						4.9%										4.2%		30.9%	0.2%	17.2%		25.1%			8.2%													
PORTLAND-STATE			19.4%		14.7%					4.5%																								17.2%					13.5%											13.6%		17.1%	
PORTLAND					35.6%	0.0%																							18.3%					38.7%																7.3%			
PRAIRIE-VIEW										0.3%					2.0%				4.3%						18.0%								24.9%	0.3%			3.2%								14.8%	32.2%							
PRESBYTERIAN										1.0%	42.3%																								9.7%		2.8%						44.2%										
